number_of_teams,fixtures_left,number_of_constraints,runtime
4,4,1,0.052758
4,4,2,0.062042
4,4,2,0.053375
4,4,2,0.052108
4,4,2,0.052306
4,4,2,0.05138
4,4,2,0.062913
4,4,2,0.051883
4,4,2,0.051774
4,4,2,0.054942
4,4,2,0.061286
4,4,3,0.05387
4,4,3,0.052813
4,4,3,0.053336
4,4,3,0.05215
4,4,3,0.054037
4,4,3,0.071599
4,4,3,0.053419
4,4,3,0.052726
4,4,3,0.051549
4,4,3,0.051129
4,4,1,0.049071
4,4,1,0.052874
4,4,1,0.051835
4,4,1,0.051523
4,4,1,0.064841
4,4,1,0.06381
4,4,1,0.054028
4,4,1,0.053063
4,4,1,0.060402
4,4,1,0.052727
4,4,2,0.051577
4,4,2,0.052998
4,4,2,0.054349
4,4,2,0.054395
4,4,2,0.051564
4,4,2,0.051232
4,4,2,0.051097
4,4,2,0.052502
4,4,2,0.051236
4,4,2,0.051625
4,4,3,0.050631
4,4,3,0.05321
4,4,3,0.054619
4,4,3,0.061564
4,4,3,0.053252
4,4,3,0.05261
4,4,3,0.062594
4,4,3,0.052521
4,4,3,0.052213
4,4,3,0.051352
4,4,1,0.050425
4,4,1,0.053205
4,4,1,0.053604
4,4,1,0.065797
4,4,1,0.051971
4,4,1,0.052515
4,4,1,0.053305
4,4,1,0.066824
4,4,1,0.055148
4,4,1,0.053797
4,4,2,0.050355
4,4,2,0.052422
4,4,2,0.0655
4,4,2,0.051548
4,4,2,0.052093
4,4,2,0.050129
4,4,2,0.051208
4,4,2,0.065027
4,4,2,0.06775
4,4,2,0.05493
4,4,3,0.064688
4,4,3,0.05293
4,4,3,0.053549
4,4,3,0.053746
4,4,3,0.064918
4,4,3,0.053164
4,4,3,0.053925
4,4,3,0.052403
4,4,3,0.053265
4,4,3,0.066519
4,4,1,0.045103
4,4,1,0.048909
4,4,1,0.048303
4,4,1,0.049329
4,4,1,0.049873
4,4,1,0.050666
4,4,1,0.051231
4,4,1,0.048743
4,4,1,0.051111
4,4,1,0.048417
4,4,2,0.04968
4,4,2,0.048806
4,4,2,0.051702
4,4,2,0.050056
4,4,2,0.049531
4,4,2,0.049
4,4,2,0.050755
4,4,2,0.050875
4,4,2,0.049716
4,4,2,0.051737
4,4,3,0.050946
4,4,3,0.059154
4,4,3,0.048403
4,4,3,0.05635
4,4,3,0.048346
4,4,3,0.056601
4,4,3,0.055197
4,4,3,0.047432
4,4,3,0.048979
4,4,3,0.046274
4,4,1,0.046239
4,4,1,0.051193
4,4,1,0.047683
4,4,1,0.050591
4,4,1,0.050474
4,4,1,0.052179
4,4,1,0.04847
4,4,1,0.048088
4,4,1,0.051978
4,4,1,0.051491
4,4,2,0.052022
4,4,2,0.053342
4,4,2,0.048914
4,4,2,0.050136
4,4,2,0.049661
4,4,2,0.04987
4,4,2,0.050067
4,4,2,0.050114
4,4,2,0.050445
4,4,2,0.04963
4,4,3,0.048812
4,4,3,0.048543
4,4,3,0.046968
4,4,3,0.04964
4,4,3,0.048075
4,4,3,0.04894
4,4,3,0.050483
4,4,3,0.050586
4,4,3,0.048575
4,4,3,0.049612
4,4,1,0.048044
4,4,1,0.050001
4,4,1,0.04758
4,4,1,0.049413
4,4,1,0.050446
4,4,1,0.051961
4,4,1,0.051893
4,4,1,0.051451
4,4,1,0.054842
4,4,1,0.050797
4,4,2,0.047182
4,4,2,0.052157
4,4,2,0.051917
4,4,2,0.050823
4,4,2,0.049648
4,4,2,0.049112
4,4,2,0.062032
4,4,2,0.051364
4,4,2,0.05103
4,4,2,0.049553
4,4,3,0.050086
4,4,3,0.0483
4,4,3,0.052269
4,4,3,0.048588
4,4,3,0.049881
4,4,3,0.050582
