c_avg_deg_cons,c_avg_dom_cons,c_avg_domdeg_cons,c_bounds_d,c_bounds_r,c_bounds_z,c_cv_deg_cons,c_cv_dom_cons,c_cv_domdeg_cons,c_domain,c_ent_deg_cons,c_ent_dom_cons,c_ent_domdeg_cons,c_logprod_deg_cons,c_logprod_dom_cons,c_max_deg_cons,c_max_dom_cons,c_max_domdeg_cons,c_min_deg_cons,c_min_dom_cons,c_min_domdeg_cons,c_num_cons,c_priority,c_ratio_cons,c_sum_ari_cons,c_sum_dom_cons,c_sum_domdeg_cons,d_array_cons,d_bool_cons,d_bool_vars,d_float_cons,d_float_vars,d_int_cons,d_int_vars,d_ratio_array_cons,d_ratio_bool_cons,d_ratio_bool_vars,d_ratio_float_cons,d_ratio_float_vars,d_ratio_int_cons,d_ratio_int_vars,d_ratio_set_cons,d_ratio_set_vars,d_set_cons,d_set_vars,gc_diff_globs,gc_global_cons,gc_ratio_diff,gc_ratio_globs,o_deg,o_deg_avg,o_deg_cons,o_deg_std,o_dom,o_dom_avg,o_dom_deg,o_dom_std,s_bool_search,s_first_fail,s_goal,s_indomain_max,s_indomain_min,s_input_order,s_int_search,s_labeled_vars,s_other_val,s_other_var,s_set_search,v_avg_deg_vars,v_avg_dom_vars,v_avg_domdeg_vars,v_cv_deg_vars,v_cv_dom_vars,v_cv_domdeg_vars,v_def_vars,v_ent_deg_vars,v_ent_dom_vars,v_ent_domdeg_vars,v_intro_vars,v_logprod_deg_vars,v_logprod_dom_vars,v_max_deg_vars,v_max_dom_vars,v_max_domdeg_vars,v_min_deg_vars,v_min_dom_vars,v_min_domdeg_vars,v_num_aliases,v_num_consts,v_num_vars,v_ratio_bounded,v_ratio_vars,v_sum_deg_vars,v_sum_dom_vars,"v_sum_domdeg_vars

",number_of_teams,fixtures_left,number_of_constraints,runtime,min_num_losses
2.43662,3.71938,1.50953,0,0,0,0.43144,0.536958,0.331701,0,1.13853,3.3479,1.20893,170.432,243.755,7,10.3399,2.58496,2,2,1,142,0,1.05185,394,528.153,214.353,0,0,54,0,0,87,81,0,0,0.4,0,0,0.612676,0.6,0,0,0,0,0,0,-nan,0,1,0.390173,0.00704225,-0.553305,3,1.15385,3,0.277548,0,0,3,0,0,0,0,0,0,0,0,2.56296,2.6,1.1642,1.10215,0.554305,0.491608,124,0.936674,1.0247,0.853356,108,154.027,167.998,21,10,4,0,2,0.190476,8,32,135,0.296296,0.950704,346,351,"157.167
",6,1,3,0.03,2
2.43571,3.68613,1.49851,0,0,0,0.433968,0.534892,0.334083,0,1.13897,3.31059,1.20684,168.01,238.799,7,10.1699,2.58496,2,2,1,140,0,1.04478,388,516.058,209.792,0,0,54,0,0,85,80,0,0,0.402985,0,0,0.607143,0.597015,0,0,0,0,0,0,-nan,0,1,0.392962,0.00714286,-0.544328,3,1.17201,3,0.316688,0,0,3,0,0,0,0,0,0,0,0,2.54478,2.5597,1.16542,1.11521,0.543159,0.492768,124,0.924709,1.025,0.857991,108,150.857,164.829,21,10,4,0,2,0.190476,7,33,134,0.298507,0.957143,341,343,"156.167
",6,1,3,0.02,2
2.58683,3.75684,1.42309,0,0,0,0.454152,0.543628,0.295289,0,1.27495,2.92615,1.1852,213.022,287.992,7,10.3399,2.58496,2,2,1,167,0,1.04375,463,627.392,237.655,0,0,66,0,0,100,94,0,0,0.4125,0,0,0.598802,0.5875,0,0,0,0,0,0,-nan,0,1,0.37037,0.00598802,-0.511756,3,1.20907,3,0.427183,0,0,3,0,0,0,0,0,0,0,0,2.7,2.48125,1.12664,1.23033,0.489411,0.449235,149,0.954401,0.924081,0.83333,132,183.811,192.677,21,7,3,0,2,0.190476,10,26,160,0.225,0.958084,432,397,"180.262
",6,1,3,0.03,2
2.50943,3.75098,1.47249,0,0,0,0.45768,0.556769,0.32447,0,1.18067,3.17647,1.23498,196.084,273.301,7,12.3399,2.58496,2,2,1,159,0,1.03247,441,596.405,234.126,0,0,62,0,0,96,92,0,0,0.402597,0,0,0.603774,0.597403,0,0,0,0,0,0,-nan,0,0,0,0,-0.849288,1,0.394872,inf,-1.17865,0,0,3,0,0,0,0,0,0,0,0,2.59091,2.53247,1.14533,1.17746,0.51341,0.459659,142,1.00485,1.06691,0.906606,124,173.419,187.806,21,7,3,0,1,0.190476,9,27,154,0.233766,0.968553,399,390,"176.381
",6,1,3,0.03,0
2.58683,3.75684,1.42309,0,0,0,0.454152,0.543628,0.295289,0,1.27495,2.92615,1.1852,213.022,287.992,7,10.3399,2.58496,2,2,1,167,0,1.04375,463,627.392,237.655,0,0,66,0,0,100,94,0,0,0.4125,0,0,0.598802,0.5875,0,0,0,0,0,0,-nan,0,1,0.37037,0.00598802,-0.511756,2,0.806045,2,-0.396302,0,0,3,0,0,0,0,0,0,0,0,2.7,2.48125,1.12664,1.23033,0.489411,0.449235,149,0.954401,0.924081,0.83333,132,183.811,192.677,21,7,3,0,2,0.190476,10,26,160,0.225,0.958084,432,397,"180.262
",6,1,3,0.03,1
2.50932,3.7605,1.47385,0,0,0,0.461844,0.564351,0.317607,0,1.16269,3.15893,1.23395,198.347,277.118,7,12.9248,2.58496,2,2,1,161,0,1.03871,447,605.441,237.29,0,0,62,0,0,98,93,0,0,0.4,0,0,0.608696,0.6,0,0,0,0,0,0,-nan,0,0,0,0,-0.857821,1,0.391414,inf,-1.16459,0,0,3,0,0,0,0,0,0,0,0,2.60645,2.55484,1.14332,1.16574,0.522575,0.468659,142,1.01464,1.03579,0.902399,124,176.589,190.239,21,7,3,0,1,0.190476,10,26,155,0.232258,0.962733,404,396,"177.214
",6,1,3,0.03,0
2.50932,3.78514,1.48343,0,0,0,0.461844,0.57157,0.324594,0,1.16269,3.19315,1.23395,198.347,278.164,7,14.2467,2.58496,2,2,1,161,0,1.04545,447,609.407,238.832,0,0,62,0,0,98,92,0,0,0.402597,0,0,0.608696,0.597403,0,0,0,0,0,0,-nan,0,1,0.381188,0.00621118,-0.533827,2,0.773869,2,-0.433877,0,0,3,0,0,0,0,0,0,0,0,2.62338,2.58442,1.15724,1.1592,0.521186,0.457739,142,0.964648,1.04049,0.873579,124,176.589,191.561,21,7,3,0,2,0.190476,10,26,154,0.233766,0.956522,404,398,"178.214
",6,1,3,0.03,1
2.59172,3.81152,1.44133,0,0,0,0.464408,0.562219,0.306442,0,1.24355,2.94727,1.22549,215.507,293.797,7,13.3399,2.58496,2,2,1,169,0,1.04321,469,644.147,243.584,0,0,66,0,0,102,96,0,0,0.407407,0,0,0.60355,0.592593,0,0,0,0,0,0,-nan,0,1,0.369863,0.00591716,-0.51604,2,0.790244,2,-0.417161,0,0,3,0,0,0,0,0,0,0,0,2.7037,2.53086,1.13948,1.2211,0.502818,0.449563,150,0.990439,0.959519,0.867881,132,186.981,198.261,21,7,3,0,2,0.190476,11,25,162,0.222222,0.95858,438,410,"184.595
",6,1,3,0.03,1
2.50314,3.7352,1.46798,0,0,0,0.452233,0.553977,0.318766,0,1.18479,3.17172,1.19167,195.821,272.657,7,11.6618,2.58496,2,2,1,159,0,1.04605,441,593.897,233.408,0,0,62,0,0,96,90,0,0,0.407895,0,0,0.603774,0.592105,0,0,0,0,0,0,-nan,0,1,0.38191,0.00628931,-0.528784,2,0.787565,2,-0.415885,0,0,3,0,0,0,0,0,0,0,0,2.61842,2.53947,1.14615,1.16889,0.510803,0.457386,141,0.927342,1.01008,0.83673,124,173.419,186.391,21,7,3,0,2,0.190476,9,27,152,0.236842,0.955975,398,386,"174.214
",6,1,3,0.03,1
2.58683,3.75684,1.42309,0,0,0,0.454152,0.543628,0.295289,0,1.27495,2.92615,1.1852,213.022,287.992,7,10.3399,2.58496,2,2,1,167,0,1.04375,463,627.392,237.655,0,0,66,0,0,100,94,0,0,0.4125,0,0,0.598802,0.5875,0,0,0,0,0,0,-nan,0,1,0.37037,0.00598802,-0.511756,2,0.806045,2,-0.396302,0,0,3,0,0,0,0,0,0,0,0,2.7,2.48125,1.12664,1.23033,0.489411,0.449235,149,0.954401,0.924081,0.83333,132,183.811,192.677,21,7,3,0,2,0.190476,10,26,160,0.225,0.958084,432,397,"180.262
",6,1,3,0.03,1
