c_avg_deg_cons,c_avg_dom_cons,c_avg_domdeg_cons,c_bounds_d,c_bounds_r,c_bounds_z,c_cv_deg_cons,c_cv_dom_cons,c_cv_domdeg_cons,c_domain,c_ent_deg_cons,c_ent_dom_cons,c_ent_domdeg_cons,c_logprod_deg_cons,c_logprod_dom_cons,c_max_deg_cons,c_max_dom_cons,c_max_domdeg_cons,c_min_deg_cons,c_min_dom_cons,c_min_domdeg_cons,c_num_cons,c_priority,c_ratio_cons,c_sum_ari_cons,c_sum_dom_cons,c_sum_domdeg_cons,d_array_cons,d_bool_cons,d_bool_vars,d_float_cons,d_float_vars,d_int_cons,d_int_vars,d_ratio_array_cons,d_ratio_bool_cons,d_ratio_bool_vars,d_ratio_float_cons,d_ratio_float_vars,d_ratio_int_cons,d_ratio_int_vars,d_ratio_set_cons,d_ratio_set_vars,d_set_cons,d_set_vars,gc_diff_globs,gc_global_cons,gc_ratio_diff,gc_ratio_globs,o_deg,o_deg_avg,o_deg_cons,o_deg_std,o_dom,o_dom_avg,o_dom_deg,o_dom_std,s_bool_search,s_first_fail,s_goal,s_indomain_max,s_indomain_min,s_input_order,s_int_search,s_labeled_vars,s_other_val,s_other_var,s_set_search,v_avg_deg_vars,v_avg_dom_vars,v_avg_domdeg_vars,v_cv_deg_vars,v_cv_dom_vars,v_cv_domdeg_vars,v_def_vars,v_ent_deg_vars,v_ent_dom_vars,v_ent_domdeg_vars,v_intro_vars,v_logprod_deg_vars,v_logprod_dom_vars,v_max_deg_vars,v_max_dom_vars,v_max_domdeg_vars,v_min_deg_vars,v_min_dom_vars,v_min_domdeg_vars,v_num_aliases,v_num_consts,v_num_vars,v_ratio_bounded,v_ratio_vars,v_sum_deg_vars,v_sum_dom_vars,"v_sum_domdeg_vars

",number_of_teams,fixtures_left,number_of_constraints,runtime,fpoints
2.72422,5.10786,1.78862,0,0,0,0.575588,0.73314,0.510534,0,1.35497,3.23995,1.3941,546.569,823.796,9,20.585,3.36776,2,2,1,417,0,1.02206,1145,2129.98,745.856,0,0,160,0,0,256,248,0,0,0.392157,0,0,0.613909,0.607843,0,0,0,0,0,0,-nan,0,29,10.4155,0.0695444,6.95487,16,5.56522,0.551724,4.74579,0,0,2,0,0,0,0,0,0,0,0,2.78431,2.875,1.19667,1.3538,0.961951,0.822498,352,1.02204,1.14555,0.526983,320,488.223,520.857,29,25,9,0,2,0.551724,16,47,408,0.154412,0.978417,1136,1173,"488.241
",8,6,3,5.01,18
2.7253,5.10595,1.78829,0,0,0,0.577138,0.73404,0.512537,0,1.37206,3.28403,1.38172,544.19,819.457,9,20.8074,3.42924,2,2,1,415,0,1.01966,1139,2118.97,742.141,0,0,160,0,0,254,247,0,0,0.39312,0,0,0.612048,0.60688,0,0,0,0,0,0,-nan,0,29,10.4359,0.0698795,6.94594,16,5.57534,0.551724,4.71663,0,0,2,0,0,0,0,0,0,0,0,2.77887,2.86978,1.19961,1.35848,0.970045,0.825136,352,1.01486,1.17973,0.57665,320,485.053,519.041,29,25,9,0,2,0.448276,15,53,407,0.167076,0.980723,1131,1168,"488.241
",8,6,3,0.05,19
2.72397,5.08949,1.78172,0,0,0,0.566234,0.726662,0.514181,0,1.35437,2.87781,1.38553,542.148,813.858,9,16,3.23579,2,2,1,413,0,1.01975,1133,2101.96,735.849,0,0,160,0,0,252,245,0,0,0.395062,0,0,0.610169,0.604938,0,0,0,0,0,0,-nan,0,29,10.44,0.0702179,6.9292,19,6.70881,0.655172,5.97585,0,0,2,0,0,0,0,0,0,0,0,2.77778,2.8321,1.18825,1.36235,0.955313,0.816564,351,0.995348,1.10219,0.489453,320,481.883,511.624,29,22,8,0,2,0.551724,14,40,405,0.133333,0.98063,1125,1147,"481.241
",8,6,3,0.88,9
2.72397,5.08074,1.77988,0,0,0,0.574246,0.730914,0.512998,0,1.36307,3.38414,1.3801,541.702,813.128,9,17.585,3.36776,2,2,1,413,0,1.01975,1133,2098.35,735.091,0,0,160,0,0,252,245,0,0,0.395062,0,0,0.610169,0.604938,0,0,0,0,0,0,-nan,0,29,10.44,0.0702179,6.9292,16,5.62989,0.551724,4.73925,0,0,2,0,0,0,0,0,0,0,0,2.77778,2.84198,1.19031,1.36235,0.976924,0.829955,351,0.995348,1.14115,0.589316,320,481.883,512.348,29,25,9,0,2,0.448276,14,54,405,0.167901,0.98063,1125,1151,"482.075
",8,6,3,4.92,13
2.72289,5.08656,1.78185,0,0,0,0.575521,0.732433,0.511082,0,1.38969,3.40207,1.38724,543.984,817.781,10,19.072,3.42226,2,2,1,415,0,1.02217,1139,2110.92,739.468,0,0,160,0,0,254,246,0,0,0.394089,0,0,0.612048,0.605911,0,0,0,0,0,0,-nan,0,29,10.4195,0.0698795,6.93814,13,4.55,0.448276,3.63695,0,0,2,0,0,0,0,0,0,0,0,2.78325,2.85714,1.19189,1.35764,0.976094,0.832381,351,1.00362,1.15458,0.561149,320,485.053,515.61,29,28,10,0,2,0.448276,15,54,406,0.169951,0.978313,1130,1160,"483.908
",8,6,3,0.94,6
2.72506,5.06831,1.77508,0,0,0,0.573529,0.728957,0.51464,0,1.37521,3.38159,1.37839,539.475,807.828,9,17.3236,3.42924,2,2,1,411,0,1.01733,1127,2083.08,729.557,0,0,160,0,0,250,244,0,0,0.39604,0,0,0.608273,0.60396,0,0,0,0,0,0,-nan,0,29,10.4607,0.0705596,6.92027,16,5.68014,0.551724,4.78356,0,0,2,0,0,0,0,0,0,0,0,2.77228,2.81683,1.18665,1.3671,0.97838,0.829116,351,0.985455,1.143,0.54941,320,478.713,507.975,29,25,9,0,2,0.448276,13,55,404,0.168317,0.982968,1120,1138,"479.408
",8,6,3,3.36,9
2.72289,5.08174,1.78032,0,0,0,0.576649,0.733057,0.510727,0,1.36954,3.44937,1.38724,543.879,817.329,9,18.585,3.42924,2,2,1,415,0,1.02217,1139,2108.92,738.831,0,0,160,0,0,254,246,0,0,0.394089,0,0,0.612048,0.605911,0,0,0,0,0,0,-nan,0,29,10.4195,0.0698795,6.93814,13,4.55,0.448276,3.62548,0,0,2,0,0,0,0,0,0,0,0,2.78325,2.85714,1.19189,1.35764,0.97918,0.834484,351,1.00362,1.16016,0.582701,320,485.053,515.49,29,25,9,0,2,0.448276,15,53,406,0.167488,0.978313,1130,1160,"483.908
",8,6,3,5.01,20
2.72289,5.08174,1.78032,0,0,0,0.576649,0.733057,0.510727,0,1.36954,3.44937,1.38724,543.879,817.329,9,18.585,3.42924,2,2,1,415,0,1.02217,1139,2108.92,738.831,0,0,160,0,0,254,246,0,0,0.394089,0,0,0.612048,0.605911,0,0,0,0,0,0,-nan,0,29,10.4195,0.0698795,6.93814,25,8.75,0.862069,7.91479,0,0,2,0,0,0,0,0,0,0,0,2.78325,2.85714,1.19189,1.35764,0.97918,0.834484,351,1.00362,1.16016,0.582701,320,485.053,515.49,29,25,9,0,2,0.448276,15,53,406,0.167488,0.978313,1130,1160,"483.908
",8,6,3,5.01,10
2.72422,5.09818,1.78673,0,0,0,0.586709,0.741524,0.509309,0,1.39099,3.70819,1.38325,545.902,822.845,10,23.3923,3.48374,2,2,1,417,0,1.02206,1145,2125.94,745.065,0,0,160,0,0,256,248,0,0,0.392157,0,0,0.613909,0.607843,0,0,0,0,0,0,-nan,0,29,10.4155,0.0695444,6.95487,10,3.4547,0.344828,2.48099,0,0,2,0,0,0,0,0,0,0,0,2.78431,2.89461,1.20321,1.3538,0.989404,0.8403,352,1.02204,1.207,0.622497,320,488.223,522.913,29,28,10,0,2,0.344828,16,66,408,0.20098,0.978417,1136,1181,"490.908
",8,6,3,0.05,12
2.72422,5.10187,1.7879,0,0,0,0.585606,0.740935,0.509583,0,1.37777,3.53642,1.38325,545.983,823.192,10,23.3923,3.48374,2,2,1,417,0,1.02206,1145,2127.48,745.554,0,0,160,0,0,256,248,0,0,0.392157,0,0,0.613909,0.607843,0,0,0,0,0,0,-nan,0,29,10.4155,0.0695444,6.95487,28,9.67316,0.965517,8.79236,0,0,2,0,0,0,0,0,0,0,0,2.78431,2.89461,1.20321,1.3538,0.986443,0.838261,352,1.02204,1.1923,0.596158,320,488.223,523.005,29,28,10,0,2,0.344828,16,61,408,0.188725,0.978417,1136,1181,"490.908
",8,6,3,5.01,11
